	participant	sentence_number	sentence_index	sentence_order	critical_reached	critical_index	critical_target	critical_distractor	critical_target_word	critical_distractor_word	target_length	condition	condition_label	ortho_similarity	phono_similarity	critical_target_freq	critical_distractor_freq	critical_target_word_freq	critical_distractor_word_freq	block_acc	block_RT	pair_distractor	pair_correct	target_pos	target_pos_verbose	resp	resp_verbose	resp_RT	resp_acc	prev_pos	prev_resp	condition_verbose	inv_RT	ortho_center	phono_center
12188	116	66	5	3	1.0	5	唱	障	唱歌.	障歌	3	3	phon_sim	0	1	4.0763	3.3199	0.0	0.0	1	6600	障歌.	唱歌.	1	R	1	R	632	1	1	1	O-P+	-1.5822784810126582	-0.5	0.5
12196	116	67	7	95	1.0	7	溪	晏	溪流	晏流	2	4	both_dif	0	0	2.5079	0.301	1.2553	0.0	1	15734	晏流	溪流	0	L	0	L	1242	1	1	1	O-P-	-0.8051529790660226	-0.5	-0.5
12207	116	68	8	72	1.0	8	搪	揖	搪塞	揖塞	2	2	orth_sim	1	0	1.716	0.301	1.5315	0.0	1	11934	揖塞	搪塞	1	R	1	R	1137	1	1	1	O+P-	-0.8795074758135444	0.5	-0.5
12215	116	69	6	51	1.0	6	铝	侣	铝	侣	1	1	both_sim	1	1	2.0828	2.9474	1.9395	1.5051	1	13015	侣	铝	1	R	1	R	1052	1	1	1	O+P+	-0.9505703422053232	0.5	0.5
12231	116	72	4	59	1.0	4	根	柚	根.	柚	2	2	orth_sim	1	0	4.2766	1.7482	0.0	1.3617	1	4733	柚.	根.	1	R	1	R	527	1	0	0	O+P-	-1.8975332068311195	0.5	-0.5
12239	116	73	7	5	1.0	7	昏	杳	昏暗	杳暗	2	2	orth_sim	1	0	3.273	1.3424	1.6128	0.0	1	8900	杳暗	昏暗	0	L	0	L	779	1	0	0	O+P-	-1.2836970474967908	0.5	-0.5
12249	116	74	8	47	1.0	8	滥	烂	滥用.	烂用	3	3	phon_sim	0	1	2.7404	3.5948	0.0	0.0	1	11467	烂用.	滥用.	1	R	1	R	1663	1	0	0	O-P+	-0.6013229104028863	-0.5	0.5
12252	116	75	2	33	1.0	2	俯	府	俯身	府身	2	1	both_sim	1	1	2.4829	3.6437	1.4914	0.0	1	7317	府身	俯身	0	L	0	L	1557	1	1	1	O+P+	-0.6422607578676943	0.5	0.5
12271	116	77	6	40	1.0	6	弹	郁	子弹	子郁	2	4	both_dif	0	0	4.0592	3.0993	3.3959	0.0	1	9267	子郁	子弹	0	L	0	L	779	1	0	0	O-P-	-1.2836970474967908	-0.5	-0.5
12284	116	78	9	27	1.0	9	红	讧	粉红	粉讧	2	1	both_sim	1	1	3.8742	1.5911	2.415	0.0	1	11600	粉讧	粉红	0	L	0	L	1220	1	0	0	O+P+	-0.819672131147541	0.5	0.5
12290	116	79	4	36	1.0	4	昆	困	昆虫.	困虫	3	3	phon_sim	0	1	2.7259	3.7434	0.0	0.0	1	5765	困虫.	昆虫.	1	R	1	R	1011	1	0	0	O-P+	-0.9891196834817013	-0.5	0.5
12296	116	80	5	6	1.0	5	饺	银	饺子	银子	2	2	orth_sim	1	0	1.9542	3.6889	1.7324	1.7076	1	8815	银子	饺子	0	L	0	L	1263	1	1	1	O+P-	-0.7917656373713381	0.5	-0.5
12304	116	81	6	18	1.0	6	娟	媚	娟,	媚	2	2	orth_sim	1	0	1.9494	2.3032	0.0	1.7924	1	9700	媚,	娟,	1	R	1	R	1095	1	1	1	O+P-	-0.91324200913242	0.5	-0.5
12320	116	84	7	66	1.0	7	脐	二	脐带.	二带	3	4	both_dif	0	0	2.2304	4.2257	0.0	0.0	1	8233	二带.	脐带.	0	L	0	L	631	1	0	0	O-P-	-1.5847860538827259	-0.5	-0.5
12335	116	85	14	57	1.0	14	荧	筷	荧光	筷光	2	4	both_dif	0	0	2.2041	1.9638	1.7324	0.0	1	17483	筷光	荧光	1	R	1	R	758	1	1	1	O-P-	-1.3192612137203166	-0.5	-0.5
12344	116	86	7	78	1.0	7	荞	茬	荞麦	茬麦	2	1	both_sim	1	1	1.415	2.1523	1.3979	0.0	1	8900	茬麦	荞麦	0	L	0	L	947	1	1	1	O+P+	-1.0559662090813093	0.5	0.5
12352	116	87	6	75	1.0	6	哇	挖	哇	挖	1	3	phon_sim	0	1	4.0156	3.3393	3.9979	3.2345	1	10466	挖	哇	0	L	0	L	1306	1	1	1	O-P+	-0.7656967840735069	-0.5	0.5
12359	116	88	1	48	1.0	1	浩	惜	浩浩荡荡	惜惜荡荡	4	2	orth_sim	1	0	2.7284	3.3773	0.301	0.0	1	5000	惜惜荡荡	浩浩荡荡	1	R	1	R	989	1	1	1	O+P-	-1.0111223458038423	0.5	-0.5
