	participant	sentence_number	sentence_index	sentence_order	critical_reached	critical_index	critical_target	critical_distractor	critical_target_word	critical_distractor_word	target_length	condition	condition_label	ortho_similarity	phono_similarity	critical_target_freq	critical_distractor_freq	critical_target_word_freq	critical_distractor_word_freq	block_acc	block_RT	pair_distractor	pair_correct	target_pos	target_pos_verbose	resp	resp_verbose	resp_RT	resp_acc	prev_pos	prev_resp
2531	104	25	18	58	1.0	18	哦	唤	哦	唤	1.0	2	orth_sim	1	0	4.8412	3.137	4.8412	1.6812	1	34034	唤,	哦,	1	R	1	R	1918.06	1	1	1
2541	104	26	4	52	1.0	4	沐	昂	沐浴	昂浴	2.0	4	both_dif	0	0	2.1335	3.043	2.0899	0.0	1	13516	昂浴	沐浴	1	R	1	R	2718.51	1	0	0
2554	104	27	7	15	1.0	7	温	剜	属	剜哥华	1.0	3	phon_sim	0	1	3.6838	0.9542	2.4639	0.0	1	13783	性	属	0	L	0	L	1286.01	1	0	0
2565	104	28	8	53	1.0	8	熬	凹	熬夜	凹夜	2.0	3	phon_sim	0	1	3.006	2.1761	2.1004	0.0	1	17068	凹夜	熬夜	1	R	1	R	1686.03	1	0	0
2571	104	29	3	54	1.0	3	活	生	能够	生岸	2.0	4	both_dif	0	0	4.5825	5.2115	3.739	0.0	1	13133	最多	能够	1	R	1	R	1896.03	1	0	0
2580	104	30	4	21	1.0	4	柱	圆	你	圆往	1.0	2	orth_sim	1	0	2.7412	3.2613	6.1237	0.0	1	15917	曾	你	0	L	0	L	1390.87	1	0	0
2591	104	31	6	94	1.0	6	漆	溪	一片漆黑	一片溪黑	4.0	1	both_sim	1	1	2.8669	2.5079	0.0	0.0	1	11100	一片溪黑.	一片漆黑.	0	L	0	L	1580.41	1	1	1
2599	104	32	7	13	1.0	7	嗜	嗤	不良	嗤好	2.0	1	both_sim	1	1	2.49	1.6721	2.4362	0.0	1	12700	一下	不良	1	R	1	R	948.19	1	1	1
2606	104	33	5	89	1.0	5	文	汝	文化	汝化	2.0	2	orth_sim	1	0	4.1522	2.0	2.8762	0.0	1	8833	汝化	文化	0	L	0	L	906.65	1	1	1
2613	104	34	5	72	1.0	5	响	邬	铃	邬了	1.0	4	both_dif	0	0	3.7749	0.301	2.5289	0.0	1	9666	不	铃	0	L	0	L	801.57	1	1	1
2628	104	35	13	67	1.0	13	洁	攫	洁	攫	1.0	3	phon_sim	0	1	3.3351	1.4771	2.2504	0.9031	1	15199	攫	洁	1	R	1	R	717.37	1	0	0
2635	104	36	5	78	1.0	5	桂	跪	是	跪	1.0	3	phon_sim	0	1	2.3802	2.8938	5.9767	2.5159	1	8534	局	是	1	R	1	R	442.64	1	0	0
2643	104	37	5	50	1.0	5	硌	臃	石子	臃	2.0	4	both_dif	0	0	0.8451	1.3617	1.415	0.0	1	12567	利于	石子	0	L	0	L	1180.72	1	0	0
2650	104	38	3	14	1.0	3	肢	四	一个	四技	2.0	2	orth_sim	1	0	2.7889	4.122	5.0672	0.0	1	18267	杀伤	一个	0	L	0	L	1075.2	1	0	0
2666	104	39	6	34	1.0	6	滴	淌	是	淌血	1.0	2	orth_sim	1	0	3.0378	2.1614	5.9767	0.0	1	18633	某	是	0	L	0	L	653.93	1	1	1
2679	104	41	5	79	1.0	5	详	乾	能	乾细	1.0	3	phon_sim	0	1	3.0689	2.0253	5.2218	0.0	0	10049	暂	能	0	L	0	L	422.72	1	1	1
2691	104	42	8	0	1.0	8	温	哉	温柔	哉柔	2.0	4	both_dif	0	0	3.6838	1.7482	2.8014	0.0	1	12634	哉柔.	温柔.	0	L	0	L	1116.45	1	0	0
2701	104	43	9	37	1.0	9	碗	滋	碗	滋	1.0	4	both_dif	0	0	3.0588	3.0748	2.9112	2.0569	1	21700	滋	碗	0	L	0	L	716.94	1	0	0
2708	104	44	4	30	1.0	4	耗	勺	是	勺子	1.0	3	phon_sim	0	1	2.9122	2.5366	5.9767	2.1847	1	9500	局	是	0	L	0	L	864.61	1	0	0
2713	104	45	3	19	1.0	3	烛	蜡	满了	蜡浊	2.0	1	both_sim	1	1	2.8235	2.9325	0.0	0.0	1	9417	特别	满了	0	L	0	L	1074.49	1	0	0
2720	104	46	4	5	1.0	4	耳	两	的	两机	1.0	2	orth_sim	1	0	3.5981	4.6018	6.226	0.0	1	15184	都	的	1	R	1	R	1053.49	1	1	1
2733	104	47	8	55	1.0	8	饿	恍	有点	恍	2.0	4	both_dif	0	0	3.5232	1.9777	3.7706	0.8451	1	17033	继续	有点	1	R	1	R	1306.36	1	0	0
2742	104	48	6	47	1.0	6	鸭	鸦	麻辣	鸦	2.0	1	both_sim	1	1	2.8739	2.6345	1.0	1.0792	1	11282	公共	麻辣	1	R	1	R	1243.21	1	1	1
2749	104	49	4	93	1.0	4	拒	剧	被	剧绝	1.0	3	phon_sim	0	1	3.5422	3.9246	4.8175	0.0	1	10150	也	被	1	R	1	R	1391.19	1	1	1
2753	104	50	1	4	1.0	1	分	芸	男朋友	芸手	3.0	2	orth_sim	1	0	4.6848	1.6335	3.3941	0.0	1	13084	为什么	男朋友	0	L	0	L	1433.33	1	0	0
