	participant	sentence_number	sentence_index	sentence_order	critical_reached	critical_index	critical_target	critical_distractor	critical_target_word	critical_distractor_word	target_length	condition	condition_label	ortho_similarity	phono_similarity	critical_target_freq	critical_distractor_freq	critical_target_word_freq	critical_distractor_word_freq	block_acc	block_RT	pair_distractor	pair_correct	target_pos	target_pos_verbose	resp	resp_verbose	resp_RT	resp_acc	prev_pos	prev_resp
3982	106	2	6	90	1.0	6	文	作	的	作汶	1.0	1	both_sim	1	1	4.1522	4.8336	6.226	0.0	1	10933	所	的	0	L	0	L	443.36	1	0	0
3988	106	3	3	87	1.0	3	殃	洋	殃及	洋及	2.0	3	phon_sim	0	1	2.0569	3.3473	1.3222	0.0	1	6833	洋及	殃及	1	R	1	R	821.19	1	1	1
4000	106	4	9	23	1.0	9	秘	秧	的	秧密	1.0	2	orth_sim	1	0	3.9054	1.0792	6.226	0.0	1	16950	要	的	0	L	0	L	779.59	1	0	0
4009	106	5	5	50	1.0	5	拮	按	拮据。	按据	3.0	2	orth_sim	1	0	1.1139	3.8345	0.0	0.0	1	9383	按据。	拮据。	1	R	1	R	1642.05	1	1	1
4015	106	6	5	49	1.0	5	酩	明	酩酊大醉。	明酊大醉	5.0	3	phon_sim	0	1	1.7993	4.8435	0.0	0.0	1	8533	明酊大醉。	酩酊大醉。	1	R	1	R	1789.68	1	0	0
4021	106	7	5	10	1.0	5	息	鼻	连	鼻悉	1.0	1	both_sim	1	1	4.2812	3.3753	3.8868	0.0	0	6717	从	连	0	L	1	R	1094.9	0	1	1
4032	106	8	10	9	1.0	10	枉	狙	冤枉	冤狙	2.0	4	both_dif	0	0	2.2041	2.6875	2.0414	0.0	1	20733	冤狙,	冤枉,	0	L	0	L	1494.73	1	1	1
4036	106	9	1	55	1.0	1	治	阉	就要	阉病	2.0	4	both_dif	0	0	4.077	2.1303	3.4598	0.0	1	5333	转向	就要	1	R	1	R	1199.94	1	0	0
4043	106	10	3	83	1.0	3	央	中	的是	中泱	2.0	1	both_sim	1	1	2.9499	4.8435	0.0	0.0	1	7433	也是	的是	0	L	0	L	463.83	1	0	0
4052	106	11	3	20	1.0	3	汪	剜	就	剜剜	1.0	3	phon_sim	0	1	2.4048	0.9542	5.4419	0.0	1	7433	某	就	0	L	0	L	674.48	1	1	1
4065	106	12	8	31	1.0	8	吹	听	们	听出	1.0	2	orth_sim	1	0	3.4048	4.9115	4.6016	0.0	1	17584	才	们	1	R	1	R	611.3	1	1	1
4081	106	14	3	3	1.0	3	栖	七	两	七	1.0	3	phon_sim	0	1	2.2148	3.6121	4.5632	3.2949	1	5951	不	两	0	L	0	L	779.45	1	1	1
4097	106	16	11	65	1.0	11	殃	汽	遭殃	遭汽	2.0	4	both_dif	0	0	2.0569	3.5573	1.9085	0.0	1	13667	遭汽	遭殃	1	R	1	R	1369.52	1	0	0
4103	106	17	4	33	1.0	4	王	骥	一个	骥	2.0	4	both_dif	0	0	3.9882	0.699	5.0672	0.4771	1	5817	引起	一个	1	R	1	R	485.12	1	0	0
4108	106	18	2	61	1.0	2	眩	头	得	头晕目铱	1.0	2	orth_sim	1	0	2.2355	4.6908	5.022	0.0	1	14450	月	得	1	R	1	R	736.97	1	0	0
4131	106	21	11	22	1.0	11	苛	苑	苛刻	苑刻	2.0	2	orth_sim	1	0	2.4298	1.9731	2.2625	0.0	1	11632	苑刻.	苛刻.	1	R	1	R	842.39	1	0	0
4147	106	23	10	18	1.0	10	欣	钦	欣慰	钦慰	2.0	1	both_sim	1	1	3.2718	2.301	2.2122	0.0	1	13600	钦慰.	欣慰.	1	R	1	R	1347.85	1	1	1
4161	106	26	4	13	1.0	4	沐	汪	沐浴	汪浴	2.0	2	orth_sim	1	0	2.1335	2.4048	2.0899	0.0	1	13817	汪浴	沐浴	0	L	0	L	1200.7	1	0	0
4174	106	27	7	45	1.0	7	温	湾	属	湾哥华	1.0	1	both_sim	1	1	3.6838	2.8899	2.4639	0.0	1	11717	性	属	1	R	1	R	884.55	1	1	1
4185	106	28	8	54	1.0	8	熬	獒	熬夜	獒夜	2.0	1	both_sim	1	1	3.006	0.9031	2.1004	0.0	1	11600	獒夜	熬夜	0	L	0	L	527.45	1	1	1
4191	106	29	3	34	1.0	3	活	生	能够	生恬	2.0	2	orth_sim	1	0	4.5825	5.2115	3.739	0.0	0	7500	最多	能够	0	L	0	L	779.62	1	1	1
4202	106	31	6	64	1.0	6	漆	七	一片漆黑	一片七黑	4.0	3	phon_sim	0	1	2.8669	3.6121	0.0	0.0	1	7466	一片七黑.	一片漆黑.	0	L	0	L	1074.2	1	0	0
4210	106	32	7	38	1.0	7	嗜	式	不良	式好	2.0	3	phon_sim	0	1	2.49	4.0843	2.4362	0.0	1	9283	一下	不良	1	R	1	R	653.44	1	1	1
4219	106	34	5	8	1.0	5	响	呐	铃	呐了	1.0	2	orth_sim	1	0	3.7749	3.2266	2.5289	0.0	1	7517	不	铃	0	L	0	L	736.51	1	1	1
4234	106	35	13	11	1.0	13	洁	桉	洁	桉	1.0	2	orth_sim	1	0	3.3351	1.3222	2.2504	0.301	1	17116	桉	洁	1	R	1	R	926.55	1	1	1
4244	106	37	5	62	1.0	5	硌	刻	石子	刻	2.0	3	phon_sim	0	1	0.8451	3.9932	1.415	2.7782	0	19967	利于	石子	0	L	0	L	906.2	1	0	0
4251	106	38	3	73	1.0	3	肢	四	一个	四雁	2.0	4	both_dif	0	0	2.7889	4.122	5.0672	0.0	0	11234	杀伤	一个	0	L	0	L	464.01	1	0	0
4271	106	41	5	92	1.0	5	详	诠	能	诠细	1.0	1	both_sim	1	1	3.0689	2.1903	5.2218	0.0	0	7767	暂	能	0	L	0	L	547.4	1	0	0
4282	106	42	8	51	1.0	8	温	揭	温柔	揭柔	2.0	2	orth_sim	1	0	3.6838	3.232	2.8014	0.0	1	12600	揭柔.	温柔.	0	L	0	L	716.11	1	1	1
4295	106	45	3	76	1.0	3	烛	蜡	满了	蜡酌	2.0	3	phon_sim	0	1	2.8235	2.9325	0.0	0.0	1	19000	特别	满了	1	R	1	R	1053.61	1	1	1
4302	106	46	4	81	1.0	4	耳	叫	的	叫机	1.0	4	both_dif	0	0	3.5981	4.6156	6.226	0.0	1	8717	都	的	1	R	1	R	421.48	1	1	1
4315	106	47	8	21	1.0	8	饿	娣	有点	娣	2.0	2	orth_sim	1	0	3.5232	1.7482	3.7706	0.301	1	12167	继续	有点	1	R	1	R	905.87	1	0	0
4324	106	48	6	2	1.0	6	鸭	丫	麻辣	丫	2.0	3	phon_sim	0	1	2.8739	2.705	1.0	2.2068	1	10284	公共	麻辣	0	L	0	L	632.58	1	1	1
4331	106	49	4	66	1.0	4	拒	巨	被	巨绝	1.0	1	both_sim	1	1	3.5422	3.4947	4.8175	0.0	1	6584	也	被	0	L	0	L	905.47	1	1	1
4335	106	50	1	79	1.0	1	分	揠	男朋友	揠手	3.0	4	both_dif	0	0	4.6848	0.301	3.3941	0.0	1	9550	为什么	男朋友	1	R	1	R	843.18	1	1	1
4351	106	51	8	7	1.0	8	唯	衷	唯唯诺诺。	衷衷诺诺	5.0	4	both_dif	0	0	3.9755	2.8209	0.0	0.0	1	15301	衷衷诺诺。	唯唯诺诺。	0	L	0	L	4713.15	1	0	0
4357	106	52	5	75	1.0	5	噪	嘤	很大	嘤音	2.0	2	orth_sim	1	0	2.6902	1.1761	0.0	0.0	1	9483	一次	很大	1	R	1	R	1031.78	1	1	1
4368	106	53	9	17	1.0	9	健	剑	健身	剑身	2.0	3	phon_sim	0	1	3.6176	3.187	2.6675	0.0	1	10101	剑身.	健身.	0	L	0	L	925.92	1	1	1
4375	106	54	6	0	1.0	6	守	首	守	首	1.0	3	phon_sim	0	1	3.7948	4.1115	3.0997	3.7404	1	16266	首	守	0	L	0	L	1283.31	1	1	1
4387	106	55	7	36	1.0	7	中	伪	中间	伪间	2.0	2	orth_sim	1	0	4.8435	3.2603	3.2025	0.0	1	9117	伪间	中间	1	R	1	R	1369.37	1	1	1
4396	106	56	7	48	1.0	7	仪	眶	投影	眶	2.0	4	both_dif	0	0	3.3851	1.7853	1.301	1.0	1	9350	由于	投影	0	L	0	L	611.07	1	0	0
4405	106	57	7	78	1.0	7	持	主	的	主峙人	1.0	1	both_sim	1	1	4.2381	4.4568	6.226	0.0	1	15100	月	的	1	R	1	R	632.03	1	1	1
4413	106	58	6	32	1.0	6	思	息	思念	息念	2.0	1	both_sim	1	1	4.5423	4.2812	2.2148	0.0	1	11150	息念	思念	0	L	0	L	1831.35	1	1	1
4420	106	59	5	1	1.0	5	挤	纨	挤	纨	1.0	4	both_dif	0	0	3.1578	1.3979	2.9528	0.4771	1	12601	纨	挤	0	L	0	L	1389.43	1	0	0
4432	106	60	8	27	1.0	8	抬	给	抬	给	1.0	2	orth_sim	1	0	3.1749	5.093	3.0212	5.069	1	13800	给	抬	1	R	1	R	652.5	1	0	0
4443	106	61	6	25	1.0	6	蹭	成	蹭	成	1.0	3	phon_sim	0	1	2.4609	4.7878	2.1523	4.0983	1	8850	成	蹭	0	L	0	L	779.43	1	0	0
4451	106	62	5	68	1.0	5	椅	乙	把	乙子	1.0	3	phon_sim	0	1	3.3255	2.3385	5.0953	0.0	1	6732	很	把	0	L	0	L	611.08	1	1	1
4455	106	63	2	94	1.0	2	促	捉	可以	捉进	2.0	2	orth_sim	1	0	2.8261	3.1065	4.8987	0.0	1	8750	其次	可以	0	L	0	L	674.24	1	0	0
4473	106	65	11	60	1.0	11	提	惕	提	惕	1.0	1	both_sim	1	1	4.3807	2.5302	3.7229	1.0	1	21700	惕	提	0	L	0	L	653.64	1	1	1
4481	106	66	5	53	1.0	5	唱	娼	唱歌	娼歌	2.0	1	both_sim	1	1	4.0763	2.0414	3.2017	0.0	1	5883	娼歌.	唱歌.	1	R	1	R	737.75	1	0	0
4489	106	67	7	19	1.0	7	溪	晏	溪流	晏流	2.0	4	both_dif	0	0	2.5079	0.301	1.2553	0.0	1	10283	晏流	溪流	1	R	1	R	989.32	1	0	0
4500	106	68	8	59	1.0	8	搪	揖	搪塞	揖塞	2.0	2	orth_sim	1	0	1.716	0.301	1.5315	0.0	1	13000	揖塞	搪塞	1	R	1	R	1158.02	1	1	1
4507	106	69	5	14	1.0	5	铝	礼	要用	礼	2.0	3	phon_sim	0	1	2.0828	4.1694	0.0	2.9315	1	9650	立即	要用	0	L	0	L	800.74	1	0	0
4520	106	70	10	43	1.0	10	憎	懊	憎恶。	懊恶	3.0	2	orth_sim	1	0	2.7067	2.0334	0.0	0.0	1	13383	懊恶。	憎恶。	1	R	1	R	1432.1	1	0	0
4526	106	71	5	67	1.0	5	沿	泱	沿岸	泱岸	2.0	1	both_sim	1	1	2.943	0.7782	1.5441	0.0	1	8984	泱岸	沿岸	1	R	1	R	1011.63	1	1	1
4532	106	72	3	46	1.0	3	根	感	的	感	1.0	3	phon_sim	0	1	4.2766	4.7857	6.226	3.4911	1	6151	除	的	0	L	0	L	884.62	1	1	1
4541	106	73	7	12	1.0	7	昏	捱	昏暗	捱暗	2.0	4	both_dif	0	0	3.273	1.7243	1.6128	0.0	1	9900	捱暗	昏暗	0	L	0	L	1073.92	1	1	1
4548	106	75	2	4	1.0	2	俯	副	俯身	副身	2.0	3	phon_sim	0	1	2.4829	3.574	1.4914	0.0	1	7400	副身	俯身	1	R	1	R	1305.24	1	0	0
4559	106	76	7	69	1.0	7	演	淹	的	淹员	1.0	1	both_sim	1	1	4.3687	2.7731	6.226	0.0	1	10050	是	的	1	R	1	R	653.1	1	1	1
4567	106	77	6	80	1.0	6	弹	禅	子弹	子禅	2.0	2	orth_sim	1	0	4.0592	2.1492	3.3959	0.0	1	11133	子禅	子弹	1	R	1	R	863.58	1	1	1
4579	106	78	8	85	1.0	8	红	粉	成	粉仁	1.0	2	orth_sim	1	0	3.8742	3.5604	4.0983	0.0	1	10517	从	成	1	R	1	R	884.2	1	0	0
4585	106	79	3	58	1.0	3	昆	昏	都是	昏虫	2.0	1	both_sim	1	1	2.7259	3.273	0.0	0.0	0	5633	也是	都是	1	R	1	R	758.75	1	1	1
4591	106	80	4	42	1.0	4	饺	搅	吃	搅子	1.0	3	phon_sim	0	1	1.9542	3.0763	4.4458	0.0	1	6684	院	吃	1	R	1	R	632.65	1	0	0
4600	106	81	6	91	1.0	6	娟	弋	娟	弋	1.0	4	both_dif	0	0	1.9494	0.7782	1.7924	0.301	0	8766	弋,	娟,	0	L	0	L	464.27	1	0	0
4609	106	82	6	71	1.0	6	铅	伊	好的	伊笔	2.0	4	both_dif	0	0	2.6571	4.0078	0.0	0.0	1	8650	因此	好的	1	R	1	R	695.16	1	0	0
4620	106	83	9	39	1.0	9	慰	位	安慰	安位	2.0	3	phon_sim	0	1	3.1284	4.4973	2.8927	0.0	0	13517	安位	安慰	1	R	1	R	1115.96	1	0	0
4629	106	84	7	35	1.0	7	脐	齐	脐带	齐带	2.0	1	both_sim	1	1	2.2304	3.223	1.7924	0.0	1	7833	齐带.	脐带.	1	R	1	R	548.1	1	0	0
4638	106	86	6	74	1.0	6	荞	英	一份	英麦	2.0	2	orth_sim	1	0	1.415	4.1537	0.0	0.0	1	10483	也是	一份	0	L	0	L	568.86	1	0	0
4647	106	87	6	15	1.0	6	哇	蛙	哇	蛙	1.0	1	both_sim	1	1	4.0156	2.6454	3.9979	1.7709	1	12083	蛙	哇	1	R	1	R	1031.9	1	1	1
4653	106	88	0	28	1.0	0	浩	郝	大军	郝郝荡荡	2.0	3	phon_sim	0	1	2.7284	2.301	1.9345	0.0	0	4967	ＸＸ	大军	0	L	0	L	1810.76	1		
4663	106	89	6	95	1.0	6	诽	円	诽谤	円谤	2.0	4	both_dif	0	0	2.2201	1.9138	2.1761	0.0	0	16549	円谤	诽谤	1	R	1	R	1410.56	1	0	0
4673	106	90	8	5	1.0	8	训	腰	训	腰	1.0	4	both_dif	0	0	3.7087	3.0785	2.2355	2.6928	1	12750	腰	训	1	R	1	R	1157.16	1	0	0
4688	106	92	7	41	1.0	7	棋	下	人	下验	1.0	2	orth_sim	1	0	2.8228	5.1863	5.2898	0.0	1	12235	按	人	0	L	0	L	632.48	1	1	1
4695	106	93	4	26	1.0	4	温	榅	温度	榅度	2.0	1	both_sim	1	1	3.6838	0.301	2.6304	0.0	1	7934	榅度	温度	0	L	0	L	695.43	1	1	1
4706	106	94	6	29	1.0	6	岗	意	山	意	1.0	4	both_dif	0	0	2.7832	5.0143	3.345	3.292	1	7817	都	山	1	R	1	R	527.47	1	0	0
4711	106	95	2	16	1.0	2	宛	苛	的	苛如	1.0	2	orth_sim	1	0	2.1399	2.4298	6.226	0.0	1	7117	还	的	1	R	1	R	694.54	1	1	1
4732	107	1	9	73	1.0	9	柱	天	擎	天炷	1.0	1	both_sim	1	1	2.7412	5.104	1.0792	0.0	1	13483	呢	擎	0	L	0	L	654.27	1	0	0
4743	107	2	6	27	1.0	6	文	作	的	作这	1.0	2	orth_sim	1	0	4.1522	4.8336	6.226	0.0	1	10915	所	的	1	R	1	R	463.84	1	0	0
4757	107	4	9	70	1.0	9	秘	俪	的	俪密	1.0	3	phon_sim	0	1	3.9054	0.6021	6.226	0.0	1	17782	要	的	0	L	0	L	611.33	1	1	1
4766	107	5	5	51	1.0	5	拮	邪	拮据。	邪据	3.0	3	phon_sim	0	1	1.1139	3.3514	0.0	0.0	1	7616	邪据。	拮据。	0	L	0	L	1265.22	1	0	0
4772	107	6	5	12	1.0	5	酩	澳	酩酊大醉。	澳酊大醉	5.0	4	both_dif	0	0	1.7993	2.7701	0.0	0.0	1	8183	澳酊大醉。	酩酊大醉。	1	R	1	R	1054.03	1	0	0
4788	107	8	10	3	1.0	10	枉	旺	冤枉	冤旺	2.0	1	both_sim	1	1	2.2041	2.6972	2.0414	0.0	1	16650	冤旺,	冤枉,	1	R	1	R	1349.8	1	1	1
4792	107	9	1	76	1.0	1	治	沼	就要	沼病	2.0	1	both_sim	1	1	4.077	2.6365	3.4598	0.0	1	8750	转向	就要	1	R	1	R	885.47	1	0	0
4799	107	10	3	69	1.0	3	央	中	的是	中沸	2.0	2	orth_sim	1	0	2.9499	4.8435	0.0	0.0	1	9400	也是	的是	0	L	0	L	927.82	1	1	1
4808	107	11	3	2	1.0	3	汪	酗	就	酗酗	1.0	4	both_dif	0	0	2.4048	2.6937	5.4419	0.0	1	9567	某	就	1	R	1	R	1138.77	1	0	0
4829	107	13	10	84	1.0	10	悉	希	熟悉	熟希	2.0	3	phon_sim	0	1	3.1697	4.4941	3.0867	0.0	1	17716	熟希	熟悉	0	L	0	L	1054.21	1	1	1
4835	107	14	3	18	1.0	3	栖	院	两	院	1.0	4	both_dif	0	0	2.2148	4.1324	4.5632	2.752	1	7217	不	两	1	R	1	R	822.23	1	0	0
4851	107	16	11	10	1.0	11	殃	秩	遭殃	遭秩	2.0	2	orth_sim	1	0	2.0569	2.5453	1.9085	0.0	1	14667	遭秩	遭殃	0	L	0	L	1118.22	1	1	1
4857	107	17	4	29	1.0	4	王	汪	一个	汪	2.0	1	both_sim	1	1	3.9882	2.4048	5.0672	1.9445	1	6133	引起	一个	0	L	0	L	569.79	1	0	0
4862	107	18	2	74	1.0	2	眩	头	得	头晕目渲	1.0	3	phon_sim	0	1	2.2355	4.6908	5.022	0.0	1	8583	月	得	0	L	0	L	864.04	1	1	1
4869	107	19	2	86	1.0	2	芹	液	芹菜	液菜	2.0	4	both_dif	0	0	1.8062	3.4582	1.5682	0.0	1	12249	液菜	芹菜	0	L	0	L	2191.05	1	0	0
4882	107	20	7	0	1.0	7	沼	铟	的	铟泽	1.0	4	both_dif	0	0	2.6365	0.301	6.226	0.0	0	16767	不	的	0	L	0	L	1329.15	1	0	0
4896	107	21	11	40	1.0	11	苛	抠	苛刻	抠刻	2.0	3	phon_sim	0	1	2.4298	1.8865	2.2625	0.0	1	13434	抠刻.	苛刻.	1	R	1	R	1349.74	1	0	0
4916	107	24	10	7	1.0	10	喋	赢	喋喋不休	赢赢不休	4.0	4	both_dif	0	0	2.4829	4.0434	2.1614	0.0	0	16634	赢赢不休	喋喋不休	0	L	0	L	1391.77	1	0	0
4936	107	25	18	13	1.0	18	哦	娥	哦	娥	1.0	1	both_sim	1	1	4.8412	2.1239	4.8412	1.301	1	33367	娥,	哦,	1	R	1	R	717.34	1	0	0
4946	107	26	4	52	1.0	4	沐	剃	沐浴	剃浴	2.0	3	phon_sim	0	1	2.1335	2.6263	2.0899	0.0	1	13266	剃浴	沐浴	0	L	0	L	3013.48	1	1	1
4959	107	27	7	46	1.0	7	温	滞	属	滞哥华	1.0	2	orth_sim	1	0	3.6838	2.3139	2.4639	0.0	1	11000	性	属	1	R	1	R	822.68	1	0	0
4970	107	28	8	34	1.0	8	熬	熊	熬夜	熊夜	2.0	2	orth_sim	1	0	3.006	3.3629	2.1004	0.0	1	12150	熊夜	熬夜	1	R	1	R	1180.46	1	1	1
4976	107	29	3	17	1.0	3	活	生	能够	生郭	2.0	3	phon_sim	0	1	4.5825	5.2115	3.739	0.0	1	12050	最多	能够	1	R	1	R	2403.24	1	1	1
4985	107	30	4	49	1.0	4	柱	圆	你	圆驻	1.0	1	both_sim	1	1	2.7412	3.2613	6.1237	0.0	1	9350	曾	你	0	L	0	L	611.08	1	0	0
4996	107	31	6	72	1.0	6	漆	瓮	一片漆黑	一片瓮黑	4.0	4	both_dif	0	0	2.8669	1.6435	0.0	0.0	1	7767	一片瓮黑.	一片漆黑.	1	R	1	R	969.19	1	0	0
5004	107	32	7	48	1.0	7	嗜	阳	不良	阳好	2.0	4	both_dif	0	0	2.49	3.6232	2.4362	0.0	1	8733	一下	不良	0	L	0	L	632.52	1	1	1
5011	107	33	5	92	1.0	5	文	汝	文化	汝化	2.0	2	orth_sim	1	0	4.1522	2.0	2.8762	0.0	1	15117	汝化	文化	0	L	0	L	864.3	1	1	1
5028	107	35	13	26	1.0	13	洁	攫	洁	攫	1.0	3	phon_sim	0	1	3.3351	1.4771	2.2504	0.9031	1	16167	攫	洁	0	L	0	L	696.51	1	1	1
5035	107	36	5	67	1.0	5	桂	佳	是	佳	1.0	2	orth_sim	1	0	2.3802	3.3634	5.9767	2.6474	1	8583	局	是	0	L	0	L	674.34	1	0	0
5043	107	37	5	16	1.0	5	硌	臃	石子	臃	2.0	4	both_dif	0	0	0.8451	1.3617	1.415	0.0	1	14750	利于	石子	0	L	0	L	1560.25	1	1	1
5050	107	38	3	36	1.0	3	肢	四	一个	四枝	2.0	1	both_sim	1	1	2.7889	4.122	5.0672	0.0	1	14032	杀伤	一个	0	L	0	L	632.55	1	0	0
5066	107	39	6	30	1.0	6	滴	嫡	是	嫡血	1.0	1	both_sim	1	1	3.0378	1.1139	5.9767	0.0	1	10500	某	是	0	L	0	L	717.25	1	1	1
5076	107	40	7	47	1.0	7	倦	疲	他	疲讴	1.0	4	both_dif	0	0	2.9717	2.9745	5.5995	0.0	0	10784	在	他	0	L	1	R	1222.76	0	0	0
5082	107	41	5	58	1.0	5	详	栓	能	栓细	1.0	2	orth_sim	1	0	3.0689	2.4249	5.2218	0.0	1	18034	暂	能	0	L	0	L	949.23	1	0	0
5105	107	43	9	79	1.0	9	碗	衍	碗	衍	1.0	3	phon_sim	0	1	3.0588	2.2227	2.9112	0.301	0	15000	衍	碗	1	R	1	R	569.82	1	0	0
5111	107	44	4	57	1.0	4	耗	蚊	是	蚊子	1.0	2	orth_sim	1	0	2.9122	2.2833	5.9767	2.1072	1	12283	局	是	1	R	1	R	780.34	1	0	0
5116	107	45	3	25	1.0	3	烛	蜡	满了	蜡庵	2.0	4	both_dif	0	0	2.8235	2.9325	0.0	0.0	1	6433	特别	满了	0	L	0	L	822.57	1	1	1
5130	107	47	8	41	1.0	8	饿	厄	有点	厄	2.0	3	phon_sim	0	1	3.5232	3.131	3.7706	2.7101	1	14533	继续	有点	0	L	0	L	1054.44	1	0	0
5139	107	48	6	9	1.0	6	鸭	胫	麻辣	胫	2.0	4	both_dif	0	0	2.8739	1.7076	1.0	1.0	1	11217	公共	麻辣	0	L	0	L	717.51	1	0	0
5146	107	49	4	4	1.0	4	拒	柜	被	柜绝	1.0	2	orth_sim	1	0	3.5422	3.2956	4.8175	0.0	1	8634	也	被	1	R	1	R	1264.72	1	0	0
5150	107	50	1	89	1.0	1	分	芸	男朋友	芸手	3.0	2	orth_sim	1	0	4.6848	1.6335	3.3941	0.0	0	3932	为什么	男朋友	1	R	1	R	1096.58	1	1	1
5160	107	51	8	39	1.0	8	唯	维	唯唯诺诺。	维维诺诺	5.0	1	both_sim	1	1	3.9755	4.1053	0.0	0.0	1	9684	维维诺诺。	唯唯诺诺。	0	L	0	L	2171.28	1	0	0
5166	107	52	5	60	1.0	5	噪	赵	很大	赵音	2.0	3	phon_sim	0	1	2.6902	2.1038	0.0	0.0	1	7633	一次	很大	1	R	1	R	990.42	1	0	0
5177	107	53	9	62	1.0	9	健	医	健身	医身	2.0	4	both_dif	0	0	3.6176	4.4255	2.6675	0.0	1	11400	医身.	健身.	1	R	1	R	674.43	1	0	0
5184	107	54	6	95	1.0	6	守	臃	守	臃	1.0	4	both_dif	0	0	3.7948	1.3617	3.0997	0.0	1	16766	臃	守	1	R	1	R	758.55	1	1	1
5196	107	55	7	85	1.0	7	中	郑	中间	郑间	2.0	3	phon_sim	0	1	4.8435	2.4533	3.2025	0.0	1	11934	郑间	中间	1	R	1	R	1075.25	1	1	1
5205	107	56	7	14	1.0	7	仪	义	投影	义	2.0	1	both_sim	1	1	3.3851	3.9772	1.301	2.4116	1	11484	由于	投影	1	R	1	R	717.7	1	1	1
5214	107	57	7	5	1.0	7	持	主	的	主特人	1.0	2	orth_sim	1	0	4.2381	4.4568	6.226	0.0	1	10167	月	的	0	L	0	L	612.26	1	0	0
5222	107	58	6	28	1.0	6	思	恙	思念	恙念	2.0	2	orth_sim	1	0	4.5423	2.2068	2.2148	0.0	1	9400	恙念	思念	0	L	0	L	758.8	1	0	0
5229	107	59	5	37	1.0	5	挤	齐	挤	齐	1.0	1	both_sim	1	1	3.1578	3.223	2.9528	2.8615	1	9384	齐	挤	0	L	0	L	864.32	1	1	1
5241	107	60	8	56	1.0	8	抬	太	抬	太	1.0	3	phon_sim	0	1	3.1749	4.9079	3.0212	4.8139	1	17467	太	抬	0	L	0	L	948.82	1	1	1
5252	107	61	6	42	1.0	6	蹭	悦	蹭	悦	1.0	4	both_dif	0	0	2.4609	2.8248	2.1523	1.4771	1	8483	悦	蹭	0	L	0	L	717.45	1	0	0
5260	107	62	5	6	1.0	5	椅	疮	把	疮子	1.0	4	both_dif	0	0	3.3255	2.2122	5.0953	0.0	1	8551	很	把	0	L	0	L	633.35	1	0	0
5264	107	63	2	20	1.0	2	促	蹙	可以	蹙进	2.0	3	phon_sim	0	1	2.8261	0.699	4.8987	0.0	1	8433	其次	可以	0	L	0	L	906.87	1	1	1
5275	107	64	6	71	1.0	6	缉	辑	成为	辑	2.0	1	both_sim	1	1	2.8274	3.2765	4.0016	1.5315	1	13250	最大	成为	1	R	1	R	969.22	1	0	0
5290	107	65	11	77	1.0	11	提	援	提	援	1.0	2	orth_sim	1	0	4.3807	3.3558	3.7229	1.9823	1	17600	援	提	0	L	0	L	822.21	1	0	0
5298	107	66	5	11	1.0	5	唱	喂	唱歌	喂歌	2.0	2	orth_sim	1	0	4.0763	4.0575	3.2017	0.0	1	8683	喂歌.	唱歌.	0	L	0	L	1180.84	1	0	0
5306	107	67	7	82	1.0	7	溪	漆	溪流	漆流	2.0	1	both_sim	1	1	2.5079	2.8669	1.2553	0.0	1	10449	漆流	溪流	1	R	1	R	885.59	1	0	0
5317	107	68	8	66	1.0	8	搪	尝	搪塞	尝塞	2.0	3	phon_sim	0	1	1.716	3.6689	1.5315	0.0	1	12566	尝塞	搪塞	0	L	0	L	1158.89	1	0	0
5324	107	69	5	21	1.0	5	铝	猿	要用	猿	2.0	4	both_dif	0	0	2.0828	2.2742	0.0	1.9912	1	9417	立即	要用	0	L	0	L	1181.06	1	0	0
5337	107	70	10	91	1.0	10	憎	铛	憎恶。	铛恶	3.0	3	phon_sim	0	1	2.7067	2.2095	0.0	0.0	1	12117	铛恶。	憎恶。	1	R	1	R	1011.44	1	0	0
5343	107	71	5	8	1.0	5	沿	治	沿岸	治岸	2.0	2	orth_sim	1	0	2.943	4.077	1.5441	0.0	1	9784	治岸	沿岸	0	L	0	L	1307.37	1	1	1
5349	107	72	3	59	1.0	3	根	肟	的	肟	1.0	4	both_dif	0	0	4.2766	0.4771	6.226	0.4771	1	5533	除	的	0	L	0	L	843.72	1	1	1
5358	107	73	7	19	1.0	7	昏	昆	昏暗	昆暗	2.0	1	both_sim	1	1	3.273	2.7259	1.6128	0.0	1	11299	昆暗	昏暗	0	L	0	L	1159.75	1	1	1
5368	107	74	8	38	1.0	8	滥	湛	滥用	湛用	2.0	1	both_sim	1	1	2.7404	1.9031	2.3324	0.0	1	11100	湛用.	滥用.	1	R	1	R	1243.53	1	1	1
5371	107	75	2	15	1.0	2	俯	剜	俯身	剜身	2.0	4	both_dif	0	0	2.4829	0.9542	1.4914	0.0	1	7599	剜身	俯身	0	L	0	L	1433.34	1	1	1
5382	107	76	7	31	1.0	7	演	滴	的	滴员	1.0	2	orth_sim	1	0	4.3687	3.0378	6.226	0.0	1	13133	是	的	0	L	0	L	611.52	1	0	0
5390	107	77	6	68	1.0	6	弹	袒	子弹	子袒	2.0	3	phon_sim	0	1	4.0592	2.0294	3.3959	0.0	1	10150	子袒	子弹	0	L	0	L	632.44	1	1	1
5402	107	78	8	33	1.0	8	红	粉	成	粉控	1.0	3	phon_sim	0	1	3.8742	3.5604	4.0983	0.0	1	11183	从	成	1	R	1	R	759.54	1	1	1
