Phono sim:	珍	zhen1	Score: 93.6578	2.4669
Both diff:	液	ye4	Score: 72.9556	2.705

Critical:	彷	pang2	Aggregate: 7.731513241099144	1.1139
Both sim:	妨	fang2	Score: 84.2502	0.8451
Ortho sim:	役	yi4	Score: 67.237	1.9138
Phono sim:	房	fang2	Score: 96.0149	3.3833
Both diff:	睪	yi4	Score: 75.2793	1.0414

Critical:	格	ge2	Aggregate: 6.445474412395857	3.2494
Both sim:	桔	jie2	Score: 76.2576	1.6335
Ortho sim:	桉	an1	Score: 60.7077	0.301
Phono sim:	狗	gou3	Score: 91.58	4.0722
Both diff:	泳	yong3	Score: 65.5082	2.1614

Critical:	沼	zhao3	Aggregate: 7.0587268329050845	1.9494
Both sim:	治	zhi4	Score: 78.4634	3.0406
Ortho sim:	沿	yan2	Score: 63.8395	2.2504
Phono sim:	赵	zhao4	Score: 96.2673	1.7709
Both diff:	铟	yin1	Score: 71.0305	0.301

Critical:	桉	an1	Aggregate: 9.09377871875109	0.301
Both sim:	铵	an3	Score: 63.957	1.2304
Ortho sim:	桂	gui4	Score: 77.1961	1.5051
Phono sim:	因	yin1	Score: 85.9444	3.4624
Both diff:	遂	sui4	Score: 85.5939	1.415

Critical:	沪	hu4	Aggregate: 7.722491960476163	0.6021
Both sim:	浩	hao4	Score: 75.062	1.9138
Ortho sim:	汪	wang1	Score: 72.848	1.9445
Phono sim:	户	hu4	Score: 100.0	2.7716
Both diff:	菸	yan1	Score: 76.1609	1.699

Critical:	苛	ke1	Aggregate: 7.173409666017883	1.6902
Both sim:	荷	he2	Score: 81.79	2.3636
Ortho sim:	苑	yuan4	Score: 67.2698	1.9445
Phono sim:	抠	kou1	Score: 95.3127	1.7634
Both diff:	厌	yan4	Score: 70.0072	2.3483

Critical:	纹	wen2	Aggregate: 8.263302910039965	3.0154
Both sim:	炆	wen2	Score: 72.7941	0.4771
Ortho sim:	纸	zhi3	Score: 61.1708	3.1535
Phono sim:	丸	wan2	Score: 89.7733	2.3139
Both diff:	序	xu4	Score: 71.8199	1.6128

Critical:	滞	zhi4	Aggregate: 9.276808271932357	0.8451
Both sim:	渡	du4	Score: 72.8617	2.4548
Ortho sim:	湾	wan1	Score: 74.1037	2.549
Phono sim:	掷	zhi4	Score: 96.1874	2.1584
Both diff:	翁	weng1	Score: 81.8073	1.8388

Critical:	沽	gu1	Aggregate: 8.120804996039201	0.8451
Both sim:	沼	zhao3	Score: 73.7897	1.9494
Ortho sim:	沿	yan2	Score: 71.7328	2.2504
Phono sim:	刳	ku1	Score: 98.1336	0.9542
Both diff:	焰	yan4	Score: 77.7276	0.9031

Critical:	钦	qin1	Aggregate: 8.153866398572504	1.2041
Both sim:	铛	cheng1	Score: 70.0532	1.3424
Ortho sim:	钥	yue4	Score: 67.8581	2.0
Phono sim:	珍	zhen1	Score: 93.8659	2.4669
Both diff:	霭	ai3	Score: 78.042	0.0

Critical:	字	zi4	Aggregate: 8.152030922398808	3.4103
Both sim:	守	shou3	Score: 71.0147	3.0997
Ortho sim:	安	an1	Score: 72.7196	3.2398
Phono sim:	子	zi3	Score: 96.2673	3.599
Both diff:	臃	yong1	Score: 83.1017	0.0

Critical:	嗲	dia3	Aggregate: 8.403193033381713	1.0414
Both sim:	喋	die2	Score: 70.8875	1.1461
Ortho sim:	嗯	en1	Score: 62.4581	4.5396
Phono sim:	达	da2	Score: 88.9027	3.3971
Both diff:	赢	ying2	Score: 75.9264	3.9224

Critical:	哦	e2	Aggregate: 8.457098115170838	4.8412
Both sim:	娥	e2	Score: 88.2353	1.301
Ortho sim:	唤	huan4	Score: 64.6755	1.6812
Phono sim:	额	e2	Score: 93.2773	2.5682
Both diff:	涮	shuan4	Score: 82.1655	1.8751

Critical:	汨	mi4	Aggregate: 7.642209783908363	0.301
Both sim:	沐	mu4	Score: 79.8884	1.1139
Ortho sim:	汪	wang1	Score: 64.316	1.9445
Phono sim:	剃	ti4	Score: 92.6622	2.4216
Both diff:	昂	ang2	Score: 71.8397	2.3075

Critical:	湾	wan1	Aggregate: 8.459848961130529	2.549
Both sim:	温	wen1	Score: 74.4372	2.3802
Ortho sim:	滞	zhi4	Score: 74.1037	0.8451
Phono sim:	剜	wan1	Score: 100.0	0.9542
Both diff:	讫	qi4	Score: 83.8288	0.0

Critical:	熬	ao1	Aggregate: 8.022597765950474	2.8401
Both sim:	獒	ao2	Score: 84.5026	0.9031
Ortho sim:	熊	xiong2	Score: 62.8649	3.1673
Phono sim:	凹	ao1	Score: 93.6975	2.0
Both diff:	痉	jing4	Score: 83.2433	0.6021

Critical:	泪	lei4	Aggregate: 6.587338248406948	2.2227
Both sim:	泣	qi4	Score: 76.6671	1.5682
Ortho sim:	汪	wang1	Score: 62.229	1.9445
Phono sim:	利	li4	Score: 95.7696	3.3206
Both diff:	咽	yan1	Score: 68.2267	2.0864

Critical:	活	huo2	Aggregate: 7.408142198591592	4.061
Both sim:	浊	zhuo2	Score: 82.3296	0.6021
Ortho sim:	洋	yang2	Score: 61.6767	2.2967
Phono sim:	郭	guo1	Score: 94.0525	1.6532
Both diff:	岸	an4	Score: 76.2746	2.2718

Critical:	泣	qi4	Aggregate: 7.919821574296303	1.5682
Both sim:	泪	lei4	Score: 76.6671	2.2227
Ortho sim:	汪	wang1	Score: 69.0614	1.9445
Phono sim:	剂	ji4	Score: 98.1336	2.9609
Both diff:	剜	wan1	Score: 85.136	0.9542

Critical:	驻	zhu4	Aggregate: 7.150265823133499	2.1703
Both sim:	柱	zhu4	Score: 73.1158	1.9912
Ortho sim:	往	wang3	Score: 67.5234	3.7841
Phono sim:	述	shu4	Score: 97.6528	2.0899
Both diff:	严	yan2	Score: 73.1936	2.301

Critical:	漆	qi1	Aggregate: 8.202691932262887	2.42
Both sim:	溪	xi1	Score: 76.2602	2.1239
Ortho sim:	漾	yang4	Score: 67.7848	1.0792
Phono sim:	七	qi1	Score: 97.6891	3.2949
Both diff:	瓮	weng4	Score: 78.8554	1.5441

Critical:	嗜	shi4	Aggregate: 8.008841007053778	2.2529
Both sim:	嗤	chi1	Score: 74.1408	1.3222
Ortho sim:	嗡	weng1	Score: 72.7821	1.0
Phono sim:	式	shi4	Score: 97.9638	3.2327
Both diff:	阳	yang2	Score: 75.0681	2.3075

Critical:	汶	wen4	Aggregate: 7.806152343123971	1.1761
Both sim:	文	wen2	Score: 77.2404	3.0374
Ortho sim:	沏	qi1	Score: 58.6073	1.0
Phono sim:	吻	wen3	Score: 89.9648	3.4429
Both diff:	躯	qu1	Score: 78.613	1.6812

Critical:	响	xiang3	Aggregate: 8.736216246126606	3.1477
Both sim:	晌	shang3	Score: 66.3348	0.0
Ortho sim:	咦	yi2	Score: 75.4741	2.1614
Phono sim:	抢	qiang1	Score: 89.6382	3.3479
Both diff:	邬	wu1	Score: 84.3147	0.0

Critical:	桔	jie2	Aggregate: 6.111863300844175	1.6335
Both sim:	格	ge2	Score: 76.2576	3.2494
Ortho sim:	桉	an1	Score: 62.1545	0.301
Phono sim:	攫	jue2	Score: 96.1324	0.9031
Both diff:	蕴	yun4	Score: 65.1935	0.699

Critical:	讽	feng3	Aggregate: 6.821286652584257	1.3424
Both sim:	访	fang3	Score: 81.5254	2.4654
Ortho sim:	讶	ya4	Score: 60.2398	0.301
Phono sim:	疯	feng1	Score: 92.5345	3.8162
Both diff:	遥	yao2	Score: 72.7994	2.2253

Critical:	桂	gui4	Aggregate: 8.442774242809877	1.5051
Both sim:	桧	gui4	Score: 71.0172	0.301
Ortho sim:	桉	an1	Score: 77.1961	0.301
Phono sim:	跪	gui4	Score: 100.0	2.5159
Both diff:	儿	er2	Score: 83.5033	3.8175

Critical:	铬	ge4	Aggregate: 7.629042497931859	1.3979
Both sim:	硌	ge4	Score: 81.6176	0.8451
Ortho sim:	铵	an3	Score: 60.7077	1.2304
Phono sim:	刻	ke4	Score: 95.794	2.7782
Both diff:	臃	yong1	Score: 79.1207	0.0

Critical:	哟	yo1	Aggregate: 8.231296527934672	3.0338
Both sim:	呦	you1	Score: 69.8777	2.6365
Ortho sim:	响	xiang3	Score: 63.3537	3.1477
Phono sim:	摇	yao2	Score: 87.4421	2.8407
Both diff:	逛	guang4	Score: 78.0847	2.6243

Critical:	拄	zhu3	Aggregate: 7.532590109454852	1.4624
Both sim:	抽	chou1	Score: 75.5211	3.3126
Ortho sim:	拥	yong1	Score: 61.7205	2.1206
Phono sim:	贮	zhu4	Score: 96.2673	1.3802
Both diff:	剜	wan1	Score: 78.3795	0.9542

Critical:	惶	huang2	Aggregate: 7.665555051862891	0.699
Both sim:	凰	huang2	Score: 85.7647	0.6021
Ortho sim:	愕	e4	Score: 65.114	0.4771
Phono sim:	簧	huang2	Score: 96.3904	0.9031
Both diff:	亿	yi4	Score: 94.3065	2.8299

Critical:	砰	peng1	Aggregate: 6.993421007388187	2.5366
Both sim:	秤	cheng1	Score: 78.905	1.6435
Ortho sim:	砹	ai4	Score: 59.2523	0.301
Phono sim:	平	ping2	Score: 93.4463	3.0492
Both diff:	臆	yi4	Score: 73.4753	0.0

Critical:	渡	du4	Aggregate: 6.666416028967073	2.4548
Both sim:	滞	zhi4	Score: 72.8617	0.8451
Ortho sim:	湾	wan1	Score: 66.59	2.549
Phono sim:	兔	tu4	Score: 97.9865	2.5955
Both diff:	鸢	yuan1	Score: 70.2099	1.1461

Critical:	沸	fei4	Aggregate: 6.9813171590954415	0.7782
Both sim:	沛	pei4	Score: 65.5443	1.0414
Ortho sim:	泱	yang1	Score: 71.1352	0.301
Phono sim:	费	fei4	Score: 96.4706	3.0577
Both diff:	蝇	ying2	Score: 73.0208	1.7634

Critical:	倨	ju4	Aggregate: 7.677752199731726	0.301
Both sim:	俱	ju4	Score: 79.4118	2.2945
Ortho sim:	俺	an3	Score: 65.4958	2.017
Phono sim:	剧	ju4	Score: 100.0	2.9877
Both diff:	烟	yan1	Score: 78.7753	3.1436

Critical:	喙	hui4	Aggregate: 8.42164849396332	1.3617
Both sim:	喹	kui2	Score: 77.8735	0.4771
Ortho sim:	嘤	ying1	Score: 69.7482	1.1139
Phono sim:	跪	gui4	Score: 97.7852	2.5159
Both diff:	阴	yin1	Score: 77.1355	2.534

Critical:	呗	bai4	Aggregate: 5.584797364465247	2.5224
Both sim:	吠	fei4	Score: 79.9989	1.9823
Ortho sim:	听	yin3	Score: 58.97	4.7395
Phono sim:	派	pai4	Score: 95.1924	3.7782
Both diff:	匈	xiong1	Score: 66.403	0.301

Critical:	央	yang1	Aggregate: 7.608190224570673	1.7709
Both sim:	泱	yang1	Score: 88.2353	0.301
Ortho sim:	拒	ju4	Score: 61.4356	2.2989
Phono sim:	冤	yuan1	Score: 85.4536	1.6232
Both diff:	暨	ji4	Score: 87.4019	1.0414

Critical:	温	wen1	Aggregate: 7.630576801497477	2.3802
Both sim:	湾	wan1	Score: 74.4372	2.549
Ortho sim:	滞	zhi4	Score: 61.2833	0.8451
Phono sim:	剜	wan1	Score: 93.5548	0.9542
Both diff:	邵	shao4	Score: 78.5002	0.699

Critical:	枝	zhi1	Aggregate: 8.360940070009697	2.179
Both sim:	歧	qi2	Score: 79.1986	0.8451
Ortho sim:	枉	wang3	Score: 66.0457	1.5563
Phono sim:	値	zhi2	Score: 96.2673	1.0792
Both diff:	雁	yan4	Score: 75.6824	1.0

Critical:	吱	zhi1	Aggregate: 6.652682158126557	1.6902
Both sim:	岐	qi2	Score: 79.1986	1.2553
Ortho sim:	听	yin3	Score: 61.5411	4.7395
Phono sim:	湿	shi1	Score: 96.5403	2.9657
Both diff:	筵	yan2	Score: 71.7464	0.301

Critical:	滴	di1	Aggregate: 7.322287197211699	2.935
Both sim:	溪	xi1	Score: 75.4385	2.1239
Ortho sim:	演	yan3	Score: 65.0272	3.4479
Phono sim:	剔	ti1	Score: 98.1336	1.6232
Both diff:	暗	an4	Score: 76.0046	2.945

Critical:	倦	juan4	Aggregate: 7.522347735683535	1.301
Both sim:	健	jian4	Score: 86.3689	2.5635
Ortho sim:	倚	yi3	Score: 63.2184	1.3222
Phono sim:	剑	jian4	Score: 98.1336	3.0199
Both diff:	讴	ou1	Score: 85.8373	0.9031

Critical:	柱	zhu4	Aggregate: 6.301666067594746	1.9912
Both sim:	炷	zhu4	Score: 88.2353	0.6021
Ortho sim:	枉	wang3	Score: 64.4646	1.5563
Phono sim:	述	shu4	Score: 97.6676	2.0899
Both diff:	淹	yan1	Score: 73.9698	2.1038

Critical:	诠	quan2	Aggregate: 7.9421729947443405	1.0
Both sim:	详	xiang2	Score: 70.453	1.7853
Ortho sim:	诣	yi4	Score: 72.8827	0.301
Phono sim:	乾	qian2	Score: 98.0534	1.7782
Both diff:	抑	yi4	Score: 82.0003	1.6021

Critical:	揾	wen3	Aggregate: 7.288990332450315	0.301
Both sim:	援	yuan2	Score: 70.5919	1.9823
Ortho sim:	揭	jie1	Score: 60.0821	2.0253
Phono sim:	问	wen4	Score: 92.2967	4.3108
Both diff:	哉	zai1	Score: 75.2977	1.699

Critical:	宛	wan3	Aggregate: 7.414569953191355	0.699
Both sim:	苑	yuan4	Score: 68.2136	1.9445
Ortho sim:	实	shi2	Score: 65.2745	2.4281
Phono sim:	衍	yan3	Score: 91.6531	0.301
Both diff:	滋	zi1	Score: 78.8317	2.0569

Critical:	嘬	chuai4	Aggregate: 8.04339631602497	0.9031
Both sim:	嘲	chao2	Score: 66.739	1.4314
Ortho sim:	嘤	ying1	Score: 76.149	1.1139
Phono sim:	脆	cui4	Score: 92.5475	2.3096
Both diff:	匀	yun2	Score: 86.3462	1.2041

Critical:	榨	zha4	Aggregate: 7.029904103395006	2.2201
Both sim:	榻	ta4	Score: 76.2333	1.1461
Ortho sim:	榅	wen1	Score: 58.179	0.301
Phono sim:	刹	cha4	Score: 92.2512	1.7324
Both diff:	殷	yin1	Score: 71.8431	0.6021

Critical:	文	wen2	Aggregate: 7.265396770538863	3.0374
Both sim:	汶	wen4	Score: 77.2404	1.1761
Ortho sim:	这	zhe4	Score: 56.0853	5.4579
Phono sim:	烷	wan2	Score: 89.8879	1.2304
Both diff:	钙	gai4	Score: 75.3023	1.9395

Critical:	蚝	hao2	Aggregate: 5.5617296966462595	1.1139
Both sim:	耗	hao4	Score: 80.7698	2.2648
Ortho sim:	蚊	wen2	Score: 58.2896	1.2041
Phono sim:	勺	shao2	Score: 93.0547	1.9731
Both diff:	揾	wen3	Score: 65.944	0.301

Critical:	桎	zhi4	Aggregate: 8.057174169057332	0.0
Both sim:	栖	qi1	Score: 71.7332	1.5682
Ortho sim:	样	yang4	Score: 68.3944	3.3701
Phono sim:	掷	zhi4	Score: 96.0784	2.1584
Both diff:	玩	wan2	Score: 79.1945	4.115

Critical:	浊	zhuo2	Aggregate: 5.891823499105981	0.6021
Both sim:	活	huo2	Score: 82.3296	4.061
Ortho sim:	洋	yang2	Score: 59.8352	2.2967
Phono sim:	酌	zhuo2	Score: 97.598	1.4314
Both diff:	庵	an1	Score: 71.2972	0.4771

Critical:	拍	pai1	Aggregate: 5.89318147078305	3.8498
Both sim:	披	pi1	Score: 79.4738	2.6656
Ortho sim:	拥	yong1	Score: 59.5727	2.1206
Phono sim:	白	bai2	Score: 94.4009	3.4288
Both diff:	勇	yong3	Score: 67.2734	2.2227

Critical:	而	er2	Aggregate: 7.463291879884171	4.5953
Both sim:	耳	er3	Score: 66.8555	2.8
Ortho sim:	需	xu1	Score: 65.491	3.0708
Phono sim:	迎	ying2	Score: 83.4142	1.9294
Both diff:	叫	jiao4	Score: 85.2667	4.5397

Critical:	积	ji1	Aggregate: 7.679151008388938	2.2095
